Trigger Time: 999.6875 ms
time,x,y,z
190.3125,24,0,-30
190.625,22,-8,-38
190.9375,26,0,-14
191.25,30,-8,-18
191.5625,30,-2,-28
191.875,26,-4,-36
192.1875,34,-4,-26
192.5,22,0,-16
192.8125,16,4,-52
193.125,28,-6,-26
193.4375,28,-20,-44
193.75,16,10,-26
194.0625,28,-10,2
194.375,36,0,-30
194.6875,30,0,-44
195,28,-10,-28
195.3125,28,-2,-26
195.625,34,-10,-24
195.9375,34,-8,-26
196.25,50,4,-4
196.5625,30,0,0
196.875,44,-6,-6
197.1875,32,-20,-24
197.5,36,4,-24
197.8125,36,0,-32
198.125,28,-8,-24
198.4375,18,0,-26
198.75,30,-8,-32
199.0625,6,14,-34
199.375,36,-4,-8
199.6875,26,0,-24
200,28,-6,-14
200.3125,26,0,-46
200.625,26,4,-32
200.9375,24,14,-26
201.25,22,-6,-24
201.5625,34,-6,-32
201.875,46,0,-32
202.1875,24,-10,-30
202.5,28,0,-16
202.8125,26,-14,-40
203.125,34,-2,-46
203.4375,22,8,-26
203.75,20,0,-44
204.0625,26,-6,-12
204.375,30,-4,-30
204.6875,26,0,-34
205,22,0,-36
205.3125,24,0,-38
205.625,14,-8,-42
205.9375,26,6,-40
206.25,28,-16,-44
206.5625,38,-6,-32
206.875,24,0,-42
207.1875,28,4,-30
207.5,24,0,-30
207.8125,28,0,-34
208.125,38,-8,-24
208.4375,34,0,-28
208.75,34,0,-26
209.0625,26,8,-24
209.375,46,8,-8
209.6875,32,-8,-32
210,22,0,-18
210.3125,32,-18,-26
210.625,34,0,-32
210.9375,40,0,-30
211.25,32,-4,-40
211.5625,20,8,-28
211.875,16,10,-44
212.1875,44,-12,-44
212.5,24,-8,-36
212.8125,24,2,-40
213.125,24,-14,-46
213.4375,26,4,2
213.75,40,0,-6
214.0625,32,-6,-38
214.375,26,0,-54
214.6875,26,2,-38
215,38,-18,-28
215.3125,22,-12,-40
215.625,26,-18,-28
215.9375,16,8,-58
216.25,22,-8,-44
216.5625,18,-4,2
216.875,34,0,-26
217.1875,26,-14,-30
217.5,46,0,-26
217.8125,32,-4,-32
218.125,18,0,-28
218.4375,22,4,-38
218.75,20,0,-38
219.0625,16,16,-40
219.375,34,-6,-18
219.6875,46,-10,-8
220,36,-4,-26
220.3125,30,0,-50
220.625,12,-4,-26
220.9375,30,2,-32
221.25,20,0,-30
221.5625,28,4,-38
221.875,46,-8,-22
222.1875,24,10,-38
222.5,26,0,-26
222.8125,56,-8,-28
